question,ideal_answer
Tell me about yourself.,"Talk about education, projects, goals."
What are your strengths?,"Mention qualities like leadership, communication."
Why should we hire you?,"Talk about skills, motivation, and company fit."
Describe a challenging project you worked on.,Explain the project and how you handled challenges.
What are your career goals?,Mention short-term and long-term aspirations.
What is Python?,"Python is a high-level, interpreted programming language known for its simplicity."
What is machine learning?,Machine learning is a subset of AI that enables systems to learn from data.
What is artificial intelligence?,AI is the simulation of human intelligence in machines.
What is supervised learning?,Supervised learning uses labeled data to train models.
What are the types of machine learning?,"Supervised, unsupervised, and reinforcement learning."
What is overfitting in ML?,Overfitting is when a model performs well on training data but poorly on new data.
What is a neural network?,A neural network is a model inspired by the human brain's network of neurons.
What is data science?,Data science involves extracting insights from structured and unstructured data.
What is an API?,An API is a set of protocols that allows different software applications to communicate.
Explain OOP concepts.,"OOP includes encapsulation, inheritance, polymorphism, and abstraction."
What is a Python decorator?,A function that modifies the behavior of another function.
Explain list comprehension in Python.,A concise way to create lists using a single line of code.
What is the difference between 'is' and '==' in Python?,"'is' checks identity, '==' checks value equality."
What are Python generators?,Functions that yield values one at a time using 'yield' keyword.
What is the use of *args and **kwargs?,"*args allows variable arguments, **kwargs allows keyword arguments."
What is overfitting in ML?,When a model performs well on training data but poorly on unseen data.
What is the bias-variance tradeoff?,Balancing underfitting (bias) and overfitting (variance) to improve generalization.
Difference between classification and regression?,"Classification predicts categories, regression predicts continuous values."
What is cross-validation?,A technique to evaluate model performance using different train-test splits.
What is the purpose of regularization?,To prevent overfitting by penalizing large coefficients.
What is artificial intelligence?,The simulation of human intelligence in machines.
What is reinforcement learning?,An area of ML where agents learn to make decisions via rewards and penalties.
What is the Turing Test?,A test to evaluate a machine’s ability to exhibit human-like intelligence.
What is the difference between AI and ML?,AI is the broader concept; ML is a subset focused on learning from data.
What is an intelligent agent?,An entity that perceives its environment and takes actions to maximize success.
What is data cleaning?,The process of correcting or removing inaccurate records from a dataset.
What is feature engineering?,Creating new input features from existing ones to improve model performance.
What is the difference between structured and unstructured data?,Structured data has a defined format; unstructured data lacks organization.
What are outliers?,Data points that differ significantly from other observations.
What is EDA (Exploratory Data Analysis)?,Analyzing data sets to summarize their main characteristics.
What is the SDLC?,"Software Development Life Cycle - the process of planning, creating, testing, and deploying software."
What is version control?,A system to manage changes to source code over time.
Explain the concept of OOP.,Object-Oriented Programming focuses on objects and encapsulation.
What is the difference between a process and a thread?,Process is an independent program; thread is a smaller unit within a process.
What is Agile methodology?,An iterative approach to software development with frequent feedback and collaboration.
What are Python lambda functions?,Anonymous functions created using the lambda keyword.
What is the Global Interpreter Lock (GIL)?,A mutex in CPython that prevents multiple threads from executing Python bytecodes simultaneously.
What is the difference between deep copy and shallow copy?,"Shallow copy copies references, deep copy creates independent copies."
Explain Python’s garbage collection.,Automatic memory management that reclaims unused memory.
What is a Python module and package?,A module is a file with Python code; a package is a collection of modules.
What is a confusion matrix?,A table used to evaluate classification model performance.
What is precision and recall?,Precision is the ratio of true positives to predicted positives; recall is the ratio of true positives to actual positives.
What is a ROC curve?,A graph showing the performance of a classification model at all thresholds.
What is gradient descent?,An optimization algorithm to minimize the loss function.
What is a decision tree?,A flowchart-like structure used for classification and regression.
What is natural language processing (NLP)?,A field of AI focused on the interaction between computers and human language.
What is a neural network?,A series of algorithms that mimic the human brain for pattern recognition.
What is dimensionality reduction?,Reducing the number of input variables in a dataset.
What is clustering?,Grouping data points into clusters based on similarity.
What is data normalization?,Scaling features to a standard range for better performance.
What is REST API?,An architectural style for designing networked applications using HTTP.
What is CI/CD?,Continuous Integration and Continuous Deployment for faster and reliable software releases.
What is multithreading?,Running multiple threads in parallel to achieve concurrency.
Explain SOLID principles.,Five design principles for writing clean and scalable OOP code.
What is a design pattern?,Reusable solutions to common software design problems.
